q1,q2,q3,q4,q5,q6,x,y,z
-0.52589,0.085991,0.27026,-0.0010668,0.062534,0,0.34285,-0.199,0.49
-0.034899,-0.50669,0.75225,0.0014949,0.22371,0,0.243,-0.00846,0.488
0.22484,-0.75609,0.64077,-0.0065961,0.19477,0,0.174,0.0397,0.585
0.17771,0.57015,-0.38552,0.0019326,-0.11985,0,0.519,0.0932,0.526
-0.21536,0.20986,0.6028,-0.0010796,0.13861,0,0.34829,-0.0762,0.3243
-0.36122,-0.25193,0.80769,0.00227,0.22372,0,0.2595,-0.098,0.401
-0.31264,-0.38865,0.28419,0.0014474,0.090205,0,0.25,-0.0808,0.642
-0.42398,-0.18954,0.45031,0.00068258,0.12267,0,0.2969,-0.134,0.518
-0.5143,-0.057319,0.25786,-0.00031734,0.066469,0,0.3168,-0.179,0.549
-0.29611,-0.56551,0.60088,0.0087343,0.17796,0,0.22,-0.067,0.562
0.32182,0.004942,0.39634,0.00069117,0.098027,0,0.3509,0.117,0.472
-0.12675,0.41922,-0.12072,-0.00083701,-0.049946,0,0.485,-0.0618,0.497
0.18522,0.36806,-0.053702,0.0006204,-0.031303,0,0.467,0.0875,0.495
0.20647,-0.40148,0.37056,-0.0027248,0.11202,0,0.2603,0.0545,0.612
-0.22031,0.30557,-0.13657,-0.0004357,-0.047879,0,0.451,-0.101,0.557
0.2787,-0.45983,0.68256,-0.0062027,0.19971,0,0.246,0.0703,0.504
0.034335,-0.33678,0.11827,-0.0005313,0.045892,0,0.2612,0.00897,0.691
-0.088678,-0.6955,1.2217,-0.00023878,0.44966,0,0.163,-0.0145,0.3465
-0.2234,0.34305,0.1813,-0.00086308,0.026206,0,0.4375,-0.0994,0.416
-0.14551,-0.44207,0.58516,0.0055639,0.1713,0,0.2591,-0.0379,0.538
0.00757,0.60361,-0.66593,0.00047564,-0.1909,0,0.52,0.00393,0.619
-0.27951,0.19362,0.063868,-0.00048311,0.0058307,0,0.4146,-0.119,0.527
0.29715,0.41768,-0.11633,0.00081707,-0.048686,0,0.467,0.143,0.496
-0.053846,0.61966,-0.074825,-0.0010474,-0.050709,0,0.514,-0.0277,0.379
-0.030968,0.43546,-0.17086,-0.0006324,-0.063417,0,0.494,-0.0153,0.509
-0.12029,0.46442,-0.63506,-0.0024964,-0.17403,0,0.471,-0.0569,0.676
-0.16632,-0.053811,-0.16576,0.0003862,-0.037308,0,0.33,-0.0554,0.712
-0.2353,0.36817,-0.074096,-0.00063901,-0.036161,0,0.463,-0.111,0.503
0.24699,0.29847,-0.21653,0.00040776,-0.066508,0,0.4442,0.112,0.592
-0.18767,0.31724,0.085607,-0.00057547,0.0045525,0,0.4476,-0.085,0.464
-0.028033,-0.80292,0.66442,0.00088271,0.20198,0,0.167,-0.00467,0.584
0.022202,0.2323,0.45874,-1.7534e-05,0.10031,0,0.39,0.00866,0.363
0.34736,0.41797,0.56796,0.003239,0.11753,0,0.34519,0.125,0.25932
-0.31125,0.35306,0.27911,-0.0014802,0.04952,0,0.4134,-0.133,0.376
0.31223,-0.36104,0.16476,-0.0011821,0.058971,0,0.246,0.0794,0.68
0.16857,0.33591,0.22773,0.00071283,0.037718,0,0.4348,0.074,0.402
0.15223,0.44628,0.18811,0.00078595,0.022051,0,0.453,0.0695,0.367
-0.50279,-0.42913,0.48322,0.002786,0.14287,0,0.231,-0.127,0.575
-0.071528,0.34856,0.18279,-0.00030761,0.026082,0,0.448,-0.0321,0.413
0.4505,0.65247,-0.5765,0.0022137,-0.16752,0,0.488,0.236,0.558
-0.43262,0.016175,0.30826,-0.00076562,0.075618,0,0.3443,-0.159,0.502
0.17138,-0.78206,1.0681,-0.0044425,0.36288,0,0.174,0.03,0.42
0.10605,0.33306,-0.20368,0.00072509,-0.065276,0,0.466,0.0496,0.571
0.25823,0.028371,-0.32064,-0.00069078,-0.078119,0,0.3324,0.0878,0.74
-0.082894,-0.38306,0.15806,0.0011946,0.058205,0,0.248,-0.0206,0.688
0.23828,-0.60599,0.95029,-0.0063445,0.29366,0,0.206,0.0499,0.433
0.29852,-0.93042,1.1245,-0.0083921,0.26285,0,0.151,0.0463,0.43
-0.1178,-0.03318,0.75723,0.0013024,0.19492,0,0.3052,-0.0361,0.355
0.015366,0.17893,0.68314,-8.4201e-05,0.16124,0,0.3352,0.00515,0.3105
-0.037716,-0.14074,0.78978,0.00070393,0.21088,0,0.2918,-0.011,0.376
-0.25848,0.091805,-0.13599,3.3803e-05,-0.037381,0,0.382,-0.101,0.648
0.41776,-0.049287,0.39007,0.00052739,0.099852,0,0.3289,0.146,0.494
-0.16413,-0.0072476,-0.02391,2.6601e-05,-0.0054198,0,0.3647,-0.0604,0.642
0.15152,-0.55541,0.89635,-0.0049661,0.27176,0,0.222,0.0338,0.443
0.31078,0.66178,-0.36772,0.0019568,-0.12003,0,0.52,0.167,0.47
-0.29874,-0.014861,0.66877,-0.00014655,0.16982,0,0.3127,-0.0963,0.379
0.094176,-0.42603,0.3301,-0.0021653,0.10246,0,0.2532,0.0239,0.634
-0.095488,0.17861,0.53054,-4.3732e-06,0.12169,0,0.3696,-0.0354,0.359
-0.15741,-0.44468,0.45822,0.0044789,0.13488,0,0.2548,-0.0404,0.589
-0.44,0.14075,-0.18109,6.1906e-05,-0.050711,0,0.3696,-0.174,0.646
0.49234,-0.40257,0.2168,-0.0013659,0.074281,0,0.22,0.118,0.671
-0.033726,-0.2275,0.8283,0.00074312,0.22776,0,0.2763,-0.00931,0.387
-0.40167,-0.053706,0.034457,2.4735e-05,0.01106,0,0.3296,-0.14,0.636
0.042815,0.44388,0.45136,0.00032192,0.085846,0,0.3991,0.0171,0.2821
0.24895,0.4372,-0.38976,0.0010777,-0.11409,0,0.476,0.121,0.595
-0.32134,0.038533,0.061914,-0.00015703,0.013165,0,0.3695,-0.123,0.591
0.31886,-0.73584,0.91093,-0.014264,0.29268,0,0.183,0.0601,0.474
0.15172,0.41825,0.25804,0.00078814,0.040411,0,0.4382,0.067,0.355
0.059763,0.1563,0.4762,-0.00012613,0.10914,0,0.3794,0.0227,0.386
0.064178,-0.78438,0.8066,-0.0057165,0.23601,0,0.182,0.0116,0.526
-0.01545,0.22543,0.12821,-5.0549e-05,0.019494,0,0.4349,-0.00672,0.488
-0.98969,-0.66073,0.72263,0.0038463,0.21034,0,0.115,-0.175,0.535
0.41845,0.10354,0.57197,0.0020085,0.1384,0,0.326,0.145,0.372
0.28985,-0.028921,-0.15868,-0.00051208,-0.036735,0,0.3316,0.0989,0.701
