x,y,z
0.32999999999999996,-0.0554,0.712
0.46299999999999997,-0.111,0.503
0.4442,0.112,0.5920000000000001
0.4476,-0.085,0.46399999999999997
0.16699999999999998,-0.00467,0.5840000000000001
0.38999999999999996,0.00866,0.363
0.34519,0.125,0.25932
0.4134,-0.133,0.376
0.246,0.0794,0.6799999999999999
0.43479999999999996,0.074,0.402
0.45299999999999996,0.0695,0.367
0.23099999999999998,-0.127,0.575
0.44799999999999995,-0.0321,0.41300000000000003
0.488,0.236,0.558
0.3443,-0.159,0.502
0.174,0.03,0.42000000000000004
0.46599999999999997,0.0496,0.571
0.3324,0.0878,0.74
0.248,-0.0206,0.688
0.206,0.0499,0.433
0.15099999999999997,0.0463,0.43
0.30519999999999997,-0.0361,0.355
0.3352,0.00515,0.3105
0.29179999999999995,-0.011,0.376
0.382,-0.101,0.648
0.32889999999999997,0.146,0.494
0.36469999999999997,-0.0604,0.642
0.22199999999999998,0.0338,0.443
0.52,0.167,0.47
0.3127,-0.0963,0.379
0.2532,0.0239,0.634
0.3696,-0.0354,0.359
0.25479999999999997,-0.0404,0.589
0.3696,-0.174,0.646
0.21999999999999997,0.118,0.671
0.2763,-0.00931,0.387
0.3296,-0.14,0.636
0.39909999999999995,0.0171,0.2821
0.476,0.121,0.595
0.3695,-0.123,0.591
0.18299999999999997,0.0601,0.474
0.4382,0.067,0.355
0.37939999999999996,0.0227,0.386
0.18199999999999997,0.0116,0.526
0.43489999999999995,-0.00672,0.488
0.11499999999999999,-0.175,0.5349999999999999
0.32599999999999996,0.145,0.372
0.3316,0.0989,0.7010000000000001
0.21299999999999997,-0.0635,0.396
0.4022,0.0711,0.653
0.3675,0.119,0.6930000000000001
0.21299999999999997,0.076,0.441
0.2699,-0.000471,0.5920000000000001
0.2606,-0.156,0.5469999999999999
0.45799999999999996,0.11,0.598
0.26189999999999997,0.0633,0.516
0.382,-0.0486,0.365
0.26149999999999995,-0.19,0.556
0.34801,-0.0873,0.438
0.178,0.0237,0.546
0.3055,0.0557,0.716
0.37979999999999997,-0.202,0.35
0.2986,0.147,0.385
0.22799999999999998,-0.13,0.514
0.21899999999999997,0.0569,0.373
0.35885999999999996,0.119,0.534
0.41469999999999996,-0.152,0.41400000000000003
0.576,-0.0446,0.56
0.44189999999999996,0.0409,0.375
