q1,q2,q3,q4,q5,q6,x,y,z
-1.9458,1.7387,-1.1577,0.034428,-1.4171,0,-0.22398,-0.56235,0.19099
0.67252,-0.64053,0.84809,-0.011014,0.25844,0,0.16667,0.13248,0.48039
2.0516,0.74757,0.38268,0.5425,0.59114,0,-0.18952,0.31853,0.17596
0.016855,-1.9199,-0.39534,-0.042622,1.3463,0,-0.46898,-0.010897,0.43165
0.45862,1.0797,-0.6162,0.0062793,-0.19812,0,0.54611,0.26953,0.32604
0.10165,-0.62095,1.0723,-0.0023951,0.34089,0,0.19476,0.019808,0.38961
-1.9815,-0.19043,0.70347,-0.16218,-1.2849,0,-0.10856,-0.27724,0.51731
2.709,0.85302,0.98479,-2.0641,2.0944,-2.2961,-0.18507,0.14594,0.18475
2.2686,-0.13929,0.67199,0.4923,-1.2706,0,-0.17256,0.25639,0.50571
2.1199,1.6376,-0.28179,0.84541,-0.36048,0,-0.20982,0.37928,-0.070383
0.29411,1.43,0.013975,0.012088,-0.081857,0,0.37316,0.11295,-0.033267
-0.36502,0.052773,0.39153,-0.0010346,0.094411,0,0.35385,-0.13523,0.45608
1.1598,1.7618,-1.05,0.04804,-0.127,0,0.23993,0.5494,0.054694
-1.5998,1.4113,0.59069,-1.7927,0.1447,0,-0.015242,-0.17588,-0.036411
1.8982,-0.79509,0.91386,0.22472,0.19591,0,-0.062102,0.17314,0.49085
-0.62831,0.61759,-0.12759,-0.0025239,-0.060953,0,0.42169,-0.30636,0.39981
2.6385,0.943,0.28438,1.9659,0.36264,5.656,-0.3776,0.18091,0.12772
-1.6009,1.8915,-0.53238,-0.25444,-2.0944,0,0.0024577,-0.43982,-0.027803
1.2953,0.8821,-0.67581,-0.0012421,-0.22487,0,0.16057,0.56813,0.46959
1.2912,1.2157,0.17447,0.026877,-1.2307,0,0.12522,0.42946,0.087939
-1.7073,1.5545,-0.085061,-0.39791,-1.0024,0,-0.035165,-0.42894,-0.031859
-2.3317,1.9199,-0.88746,-2.7925,1.0233,0,-0.38587,-0.37475,-0.028285
-1.894,0.93034,0.22323,-0.055319,-0.84988,0,-0.14693,-0.44803,0.18205
-1.5774,1.6153,-0.24851,-0.079482,-2.0944,0,0.0019564,-0.45306,0.044268
0.22562,-1.6828,-1.9199,-0.47341,1.9159,0,-0.49275,-0.14479,0.12763
-0.25078,1.0131,-0.097466,-0.0051126,-0.077604,0,0.5006,-0.12821,0.18254
2.0814,1.8331,0.80141,-1.0105,-2.0944,0,-0.084357,0.042507,0.00065131
0.6861,1.6166,-0.61076,0.018529,-0.22439,0,0.41926,0.34291,0.0093276
1.9774,0.2817,0.18051,0.05731,-0.027726,0,-0.17466,0.40591,0.44703
-2.7888,1.9199,0.060866,-2.7925,1.4094,0,-0.24693,-0.065022,-0.14445
1.7149,1.3405,0.17852,0.29953,-1.1012,0,-0.040344,0.40982,0.024308
0.0012004,-1.5963,-1.9199,-0.00085142,1.9191,0,-0.52725,-0.00069053,0.17948
-2.4329,1.1318,-0.71815,-0.72,-0.51692,0,-0.45325,-0.41948,0.34677
-0.32406,0.016968,0.45344,-0.00080072,0.11188,0,0.34661,-0.11643,0.44588
-1.0507,0.83466,-0.18686,-0.0052514,-0.087263,0,0.27043,-0.47217,0.30659
0.71324,1.0923,-0.26791,0.0079961,-0.11753,0,0.41664,0.36038,0.1934
0.79062,1.2491,0.49311,0.11005,-1.3174,0,0.24376,0.23543,0.036263
2.8775,1.9199,-0.37903,-2.7925,0.9253,0,-0.36947,0.12027,-0.14379
0.40358,0.44826,-0.20774,0.001217,-0.071628,0,0.45797,0.19555,0.51727
0.14658,-1.7572,-1.5153,-0.23901,1.3785,0,-0.56956,-0.101,0.19742
-0.070556,-1.617,-1.1047,-1.48,2.0944,0,-0.54187,-0.023956,0.3272
-0.79116,1.35,-0.60179,-0.0096527,-0.20633,0,0.41776,-0.4224,0.15784
2.2046,0.76068,0.66209,0.038095,-1.2487,0,-0.21748,0.30031,0.18473
0.62687,1.3058,0.44442,-0.1981,0.65399,-6.4779,0.18574,0.1239,0.0025135
0.10234,1.1528,-0.2079,0.0038848,-0.11304,0,0.52613,0.054003,0.14264
2.8478,1.4456,-0.28302,2.7925,0.22944,-4.4367,-0.47445,0.13768,0.016091
0.15309,-1.9199,-0.80406,-0.20424,2.0001,0,-0.49682,-0.090095,0.30261
-0.66435,1.1123,-0.13187,-0.0091807,-0.087918,0,0.40436,-0.31659,0.14152
2.8757,0.84907,0.56234,2.7925,2.0944,-1.555,-0.3644,0.077134,0.22617
-2.3236,1.8428,0.11585,-1.2515,-1.0276,0,-0.10394,-0.19654,-0.13035
-0.67559,1.9199,0.44747,-0.88173,1.2477,0,-0.0016995,-0.066168,-0.048496
2.756,-0.25381,1.0698,2.7925,2.0944,3.5908,-0.20087,0.058513,0.44571
2.2718,1.7294,-0.54626,2.7925,1.8205,0,-0.34043,0.36636,0.035465
2.0496,-0.11638,1.1872,0.14446,-1.2536,0,-0.10417,0.22202,0.33945
-1.8561,0.28748,0.24377,-0.023567,-0.0222,0,-0.12247,-0.41768,0.42119
0.82181,1.7854,-0.41139,0.0025923,-0.12513,0,0.28211,0.3034,-0.11827
-0.68974,-0.12897,0.40355,-0.00016298,0.10705,0,0.26364,-0.21748,0.51643
-2.7822,0.62978,0.45559,1.9073,-1.4508,2.8075,-0.34667,-0.058188,0.25511
-2.863,0.88416,0.12053,-1.1925,-0.70743,3.7739,-0.44358,-0.17211,0.20691
-1.9759,1.5606,-1.4057,0.81211,-0.57352,0,-0.27952,-0.57984,0.33251
0.67251,0.75155,-0.6372,0.0023233,-0.18715,0,0.44135,0.35143,0.52759
0.5939,-1.9199,-0.60258,-0.041688,0.98298,0,-0.44452,-0.30317,0.38784
1.7606,-0.66553,1.2217,0.065727,-0.13727,0,-0.035686,0.18914,0.37308
1.3963,0.13199,0.68152,-0.043861,-1.275,0,0.059227,0.35337,0.41829
0.82098,-1.8825,0.26306,-0.47903,0.093281,0,-0.22886,-0.25029,0.57732
-2.0814,1.5701,0.14691,-1.566,2.0944,0,-0.20111,-0.23145,0.016879
2.5599,1.6186,0.2278,-1.5115,2.0944,0,-0.18397,0.19547,0.0031037
-1.3437,0.63581,0.3952,0.026856,-1.1856,0,0.098836,-0.43565,0.29523
-2.8671,1.1899,-0.089055,-1.1789,-0.83819,1.4938,-0.4581,-0.18041,0.11913
-1.3805,1.596,0.092496,-0.072122,0.18714,0,0.05247,-0.27748,-0.09362
0.27955,1.5079,-0.039996,0.012755,-0.10043,0,0.36973,0.10604,-0.056775
0.12961,-1.8482,-0.090513,-2.7925,0.81108,0,-0.49075,-0.081972,0.50129
2.56,0.77128,-0.23778,-2.7925,-2.0944,-3.9734,-0.36521,0.21456,0.35814
-0.21475,-1.9199,0.38377,0.017257,1.7077,0,-0.23644,0.05283,0.48961
-0.27443,-1.9199,0.13946,0.036443,1.8132,0,-0.3007,0.087302,0.47611
1.143,1.5197,-0.89009,0.0083684,-0.28865,0,0.25856,0.56661,0.15849
-2.495,1.4609,-1.0674,-0.72348,-0.41192,0,-0.50199,-0.40283,0.26315
-2.0876,0.88959,0.25224,-0.92058,1.0119,0,-0.23063,-0.30749,0.16441
-0.51877,-1.6514,-1.402,-0.76145,2.0944,0,-0.48705,0.22853,0.26694
0.52933,1.1294,-0.44906,0.0073539,-0.16215,0,0.50538,0.29556,0.23412
0.50683,-0.047559,0.18327,0.00022909,0.047248,0,0.32056,0.17798,0.57509
2.4353,0.2473,0.15786,1.5441,-1.569,0,-0.23637,0.29627,0.49879
-1.2003,0.19553,1.2217,0.032815,1.4509,0,0.037858,-0.090999,0.24768
2.6967,1.3846,0.92555,-1.5987,2.0944,0,-0.098755,0.11613,0.095099
-2.2939,1.5744,-0.116,-2.7925,2.0944,0,-0.29895,-0.3065,0.039126
-0.45062,-1.9199,-0.69183,0.27025,0.28237,0,-0.53739,0.26595,0.34153
0.88081,1.3447,-0.7571,0.0068057,-0.24083,0,0.39537,0.47887,0.21692
1.39,0.79331,-0.81744,0.0023004,-0.24742,0,0.1011,0.55284,0.57598
-0.47108,-0.12226,0.25113,-3.1136e-05,0.067788,0,0.30847,-0.15711,0.57453
-0.68315,1.3323,0.28707,-0.0041664,-0.018383,0,0.24464,-0.1991,-0.023238
-2.6289,1.8656,0.285,-2.7925,2.0944,0,-0.20236,-0.089432,-0.08142
1.7011,-1.0939,1.2217,0.12866,0.071015,0,-0.018736,0.13791,0.43069
0.66559,1.2104,-0.29802,0.010032,-0.13129,0,0.4279,0.33582,0.13851
0.74049,0.44863,0.48109,0.0056355,0.097359,0,0.28864,0.26387,0.27149
-0.73283,1.8594,-0.099863,0.046114,-0.024606,0,0.19256,-0.17342,-0.16766
0.27147,1.0881,-0.2194,0.0060991,-0.10992,0,0.52012,0.14472,0.18042
1.4755,0.80508,-0.74872,0.0049786,-0.23618,0,0.054431,0.56834,0.54288
0.18691,-1.7429,0.985,-0.22068,0.34567,0,-0.027719,-0.010677,0.53147
-0.10704,-1.6309,-1.9018,2.7925,2.0944,0,-0.46146,0.071031,0.053484
-0.63708,1.8847,-1.1331,-0.021081,-0.35695,0,0.47595,-0.35155,0.02389
1.7583,1.516,0.44092,0.84258,2.0944,0,-0.082237,0.18372,0.047647
-2.1432,1.9199,0.19755,-2.7925,1.2974,0,-0.12939,-0.15703,-0.1472
-0.77616,0.39513,0.29775,-0.0031916,0.054215,0,0.30958,-0.30393,0.35123
-0.27645,-1.7812,-0.45515,1.0468,-0.17181,0,-0.53611,0.14102,0.4799
0.76,-1.5059,-0.82397,0.13766,-0.085304,0,-0.42117,-0.40146,0.52627
-2.8798,1.2827,0.52108,0.20482,-0.18254,0,-0.24542,-0.063009,-0.01513
0.46018,1.7058,-0.44022,0.020867,-0.1979,0,0.41207,0.20392,-0.076436
-2.7136,0.66028,0.90613,2.7925,1.2853,1.374,-0.26489,-0.14681,0.18157
1.0538,-0.12003,0.51923,-0.00027455,0.13517,0,0.16563,0.2913,0.4685
1.299,-0.46002,0.6731,0.0026887,0.18088,0,0.068851,0.24718,0.50885
2.7151,1.0184,-0.12152,-1.8134,-0.46382,1.5413,-0.47465,0.18133,0.18425
0.34471,-1.9199,-0.10969,-0.079191,0.43573,0,-0.42456,-0.15499,0.50937
2.399,0.30619,0.68536,2.7925,2.0944,-0.23648,-0.26093,0.21056,0.39522
1.1526,1.1814,-0.43758,-0.38037,-0.22662,0,0.23054,0.53358,0.20309
-0.19093,0.8871,-0.73235,-0.0046487,-0.2173,0,0.57964,-0.11196,0.48767
2.8798,1.8971,-0.23793,-2.6113,2.0944,5.8636,-0.33531,0.1225,-0.072426
-0.79482,0.96491,0.29725,-0.011411,0.024044,0,0.28056,-0.28592,0.10819
-2.8798,-0.0093042,0.93252,-2.3391,2.0944,2.6516,-0.25148,-0.020966,0.41621
